sample-id,forward-absolute-filepath,reverse-absolute-filepath,Full_ID,Pig,Date_mddyy,Timepoint,Dorsal_Ventral,Burn_Excisional,Infection_Group,SampleType,ExGroup
WM1-3-D-B-U,NA,NA,WM1-052422-D-B-U-1,WM1,52422,3,D,B,U,Gauze in PBS,WM1-3-D-B-U
WM1-3-D-E-C,NA,NA,WM1-052422-D-E-C-1,WM1,52422,3,D,E,C,Gauze in PBS,WM1-3-D-E-C
WM1-3-D-B-C,NA,NA,WM1-052422-D-B-C-1,WM1,52422,3,D,B,C,Gauze in PBS,WM1-3-D-B-C
WM1-3-D-B-B,NA,NA,WM1-052422-D-B-B-1,WM1,52422,3,D,B,B,Gauze in PBS,WM1-3-D-B-B
WM1-3-D-E-B,NA,NA,WM1-052422-D-E-B-1,WM1,52422,3,D,E,B,Gauze in PBS,WM1-3-D-E-B
WM1-3-D-B-A,NA,NA,WM1-052422-D-B-A-1,WM1,52422,3,D,B,A,Gauze in PBS,WM1-3-D-B-A
WM1-3-D-E-A,NA,NA,WM1-052422-D-E-A-1,WM1,52422,3,D,E,A,Gauze in PBS,WM1-3-D-E-A
WM1-3-D-E-U,NA,NA,WM1-052422-D-E-U-1,WM1,52422,3,D,E,U,Gauze in PBS,WM1-3-D-E-U
WM1-3-V-E-U,NA,NA,WM1-052422-V-E-U-1,WM1,52422,3,V,E,U,Gauze in PBS,WM1-3-V-E-U
WM1-3-V-B-A,NA,NA,WM1-052422-V-B-A-1,WM1,52422,3,V,B,A,Gauze in PBS,WM1-3-V-B-A
WM1-3-V-E-A,NA,NA,WM1-052422-V-E-A-1,WM1,52422,3,V,E,A,Gauze in PBS,WM1-3-V-E-A
WM1-3-V-B-B,NA,NA,WM1-052422-V-B-B-1,WM1,52422,3,V,B,B,Gauze in PBS,WM1-3-V-B-B
WM1-3-V-E-B,NA,NA,WM1-052422-V-E-B-1,WM1,52422,3,V,E,B,Gauze in PBS,WM1-3-V-E-B
WM1-3-V-B-C,NA,NA,WM1-052422-V-B-C-1,WM1,52422,3,V,B,C,Gauze in PBS,WM1-3-V-B-C
WM1-3-V-E-C,NA,NA,WM1-052422-V-E-C-1,WM1,52422,3,V,E,C,Gauze in PBS,WM1-3-V-E-C
WM1-3-V-B-U,NA,NA,WM1-052422-V-B-U-1,WM1,52422,3,V,B,U,Gauze in PBS,WM1-3-V-B-U
