sample-id	forward-absolute-filepath	reverse-absolute-filepath		Full_ID	Pig	Date_mddyy	Timepoint	Dorsal_Ventral	Burn_Excisional	Infection_Group	Replicate	SampleType	ExGroup
Kalan16S006-001	/Users/karindadelacruz/LK16S006/16SKalan16S006-001-16S_S1_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-001-16S_S1_L001_R2_001.fastq.gz		WM1-052422-D-B-U-1	WM1	52422	3	D	B	U	1	Gauze in PBS	WM1-3-D-B-U
Kalan16S006-002	/Users/karindadelacruz/LK16S006/16SKalan16S006-002-16S_S2_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-002-16S_S2_L001_R2_001.fastq.gz		WM1-052422-D-B-U-2	WM1	52422	3	D	B	U	2	Gauze in PBS	WM1-3-D-B-U
Kalan16S006-003	/Users/karindadelacruz/LK16S006/16SKalan16S006-003-16S_S3_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-003-16S_S3_L001_R2_001.fastq.gz		WM1-052422-D-B-U-3	WM1	52422	3	D	B	U	3	Gauze in PBS	WM1-3-D-B-U
Kalan16S006-004	/Users/karindadelacruz/LK16S006/16SKalan16S006-004-16S_S4_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-004-16S_S4_L001_R2_001.fastq.gz		WM1-052422-D-E-C-1	WM1	52422	3	D	E	C	1	Gauze in PBS	WM1-3-D-E-C
Kalan16S006-005	/Users/karindadelacruz/LK16S006/16SKalan16S006-005-16S_S5_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-005-16S_S5_L001_R2_001.fastq.gz		WM1-052422-D-B-C-1	WM1	52422	3	D	B	C	1	Gauze in PBS	WM1-3-D-B-C
Kalan16S006-006	/Users/karindadelacruz/LK16S006/16SKalan16S006-006-16S_S6_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-006-16S_S6_L001_R2_001.fastq.gz		WM1-052422-D-E-C-2	WM1	52422	3	D	E	C	2	Gauze in PBS	WM1-3-D-E-C
Kalan16S006-007	/Users/karindadelacruz/LK16S006/16SKalan16S006-007-16S_S7_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-007-16S_S7_L001_R2_001.fastq.gz		WM1-052422-D-B-C-2	WM1	52422	3	D	B	C	2	Gauze in PBS	WM1-3-D-B-C
Kalan16S006-008	/Users/karindadelacruz/LK16S006/16SKalan16S006-008-16S_S8_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-008-16S_S8_L001_R2_001.fastq.gz		WM1-052422-D-B-B-1	WM1	52422	3	D	B	B	1	Gauze in PBS	WM1-3-D-B-B
Kalan16S006-009	/Users/karindadelacruz/LK16S006/16SKalan16S006-009-16S_S9_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-009-16S_S9_L001_R2_001.fastq.gz		WM1-052422-D-E-B-1	WM1	52422	3	D	E	B	1	Gauze in PBS	WM1-3-D-E-B
Kalan16S006-010	/Users/karindadelacruz/LK16S006/16SKalan16S006-010-16S_S10_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-010-16S_S10_L001_R2_001.fastq.gz		WM1-052422-D-B-B-2	WM1	52422	3	D	B	B	2	Gauze in PBS	WM1-3-D-B-B
