feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Comamonas	Dorsal_Ventral	V	2.10359010755748	0.466123210644138	20	13	0.000269201885565313	0.0444183111182767
Bergeyella	Dorsal_Ventral	V	-2.31083247670983	0.71433015029247	20	11	0.00459508099565391	0.114851460667808
Carnobacterium	Dorsal_Ventral	V	1.4803534446714	0.461410125038435	20	6	0.00487248621014942	0.114851460667808
Clostridia_UCG.014	Dorsal_Ventral	V	-1.38343341470097	0.399608528695256	20	19	0.00278188301753941	0.114851460667808
Flaviflexus	Dorsal_Ventral	V	-1.78937518827513	0.54240816989165	20	8	0.00399058151440374	0.114851460667808
Globicatella	Dorsal_Ventral	V	-1.85505249813302	0.549793326529118	20	12	0.00337992259688332	0.114851460667808
Moraxella	Dorsal_Ventral	V	-1.96764512678572	0.541793452514683	20	18	0.00190767088994373	0.114851460667808
UCG.001	Dorsal_Ventral	V	-1.29898383357638	0.419635615131045	20	8	0.00624037870827663	0.128707810858206
Flavobacterium	Dorsal_Ventral	V	-1.8727195070481	0.648039780543044	20	10	0.0097574685132629	0.178886922743153
Lachnospiraceae_UCG.010	Dorsal_Ventral	V	-0.832805235839743	0.298517047801487	20	5	0.0120979668292656	0.199616452682883
Dermatophilus	Dorsal_Ventral	V	-0.854741563252772	0.316758929559566	20	7	0.0147016031617175	0.220524047425763
Alloiococcus	Dorsal_Ventral	V	-1.65814292131885	0.658422749848845	20	10	0.0214719848593288	0.236191833452616
Gallicola	Dorsal_Ventral	V	-1.23576528963082	0.475207699086484	20	5	0.0180813424985803	0.236191833452616
Monoglobus	Dorsal_Ventral	V	-1.28891838735882	0.509225447575009	20	18	0.0209075090473927	0.236191833452616
uncultured	Dorsal_Ventral	V	-0.917469987171152	0.356630599609102	20	20	0.0191707161895521	0.236191833452616
Atopostipes	Dorsal_Ventral	V	-1.98025388644509	0.822872484247521	20	11	0.0270624730698622	0.271587812124696
Bacillus	Dorsal_Ventral	V	-2.24970443491999	0.958206117662078	20	9	0.030515204181305	0.271587812124696
Dialister	Dorsal_Ventral	V	1.61104317468866	0.689726706066891	20	8	0.0312737480628438	0.271587812124696
TM7a	Dorsal_Ventral	V	1.4582819152785	0.610878679933293	20	6	0.0281570651671005	0.271587812124696
Myroides	Dorsal_Ventral	V	-1.29627219121905	0.578998026570429	20	7	0.0380391942447836	0.279616448623824
Proteus	Dorsal_Ventral	V	1.35491458492276	0.598407463987336	20	8	0.0361480859533544	0.279616448623824
Streptococcus	Dorsal_Ventral	V	-2.04123449255836	0.916723143114755	20	20	0.0389768382930179	0.279616448623824
Tessaracoccus	Dorsal_Ventral	V	-1.79060634062024	0.788025712662316	20	13	0.0355653665182249	0.279616448623824
Propionimicrobium	Dorsal_Ventral	V	0.941213082304282	0.429725021210565	20	4	0.0419129404267299	0.288151465433768
Clostridium_sensu_stricto_6	Dorsal_Ventral	V	1.20028403056922	0.557710588396099	20	14	0.0452032649199205	0.298341548471475
Brachybacterium	Dorsal_Ventral	V	-1.33040250647614	0.636358184464965	20	13	0.0510155531921142	0.323752549103802
Acetitomaculum	Dorsal_Ventral	V	-0.905737444611375	0.46011254792067	20	14	0.0646053847797588	0.343867370601942
Anaerococcus	Dorsal_Ventral	V	1.18147771423724	0.593943890833919	20	6	0.062095412620621	0.343867370601942
Kocuria	Dorsal_Ventral	V	-1.4894318173158	0.755871638080551	20	17	0.0643626416722358	0.343867370601942
Murdochiella	Dorsal_Ventral	V	-0.991808951227949	0.50167078057799	20	5	0.0635638160965417	0.343867370601942
Prevotellaceae_NK3B31_group	Dorsal_Ventral	V	-0.957169922032829	0.485212913170238	20	19	0.0640927526044221	0.343867370601942
Actinobacillus	Dorsal_Ventral	V	-1.47955623986118	0.789111047824413	20	16	0.077117620691461	0.349448186083375
Aerococcus	Dorsal_Ventral	V	2.04052295579229	1.05340719703069	20	19	0.0685928713781051	0.349448186083375
Brevibacterium	Dorsal_Ventral	V	-1.49776119180672	0.802477713246271	20	12	0.0783611083944538	0.349448186083375
Cellulosilyticum	Dorsal_Ventral	V	0.922624368469814	0.485258797730008	20	15	0.073393883850488	0.349448186083375
Negativibacillus	Dorsal_Ventral	V	-0.435532716522234	0.229337012185661	20	3	0.0736999597837533	0.349448186083375
Ruminococcus	Dorsal_Ventral	V	-1.18957820719071	0.635084725634364	20	20	0.0773874143176631	0.349448186083375
Erysipelothrix	Dorsal_Ventral	V	-0.425251657290375	0.230099959444694	20	3	0.0810844537240511	0.352077233275485
Proteiniclasticum	Dorsal_Ventral	V	-0.483744680440054	0.265610015057856	20	3	0.0852312440014498	0.358749277393116
W5053	Dorsal_Ventral	V	-1.19608108878557	0.660693939335291	20	4	0.0869695217922706	0.358749277393116
Dermabacter	Dorsal_Ventral	V	-0.467006589286215	0.261558761767995	20	3	0.0910444417109477	0.366398362983082
Psychrobacter	Dorsal_Ventral	V	-1.03061247697122	0.584249162047626	20	17	0.0946975673797202	0.372026157563186
Gemella	Dorsal_Ventral	V	-0.611211926302494	0.353199653099143	20	3	0.100648149408429	0.386208015171879
Alistipes	Dorsal_Ventral	V	1.01846338739893	0.609620809495468	20	14	0.112086649509452	0.402049938457817
Peptostreptococcus	Dorsal_Ventral	V	0.626333883625273	0.372174558316415	20	3	0.109658105888065	0.402049938457817
Solibacillus	Dorsal_Ventral	V	-1.1858661738247	0.703963115964121	20	6	0.109333817574743	0.402049938457817
Porphyromonas	Dorsal_Ventral	V	-0.639527618617537	0.405342241514239	20	9	0.13203590783461	0.461367376805295
Victivallis	Dorsal_Ventral	V	0.893927142857924	0.569987078256133	20	7	0.13421596416154	0.461367376805295
Glutamicibacter	Dorsal_Ventral	V	-0.722974791527799	0.481541838760182	20	15	0.150597441386074	0.507113833238821
Family_XIII_UCG.001	Dorsal_Ventral	V	0.884136169168417	0.596161606792427	20	14	0.155359692844763	0.510635049728453
Pseudomonas	Dorsal_Ventral	V	-0.84832752562664	0.575639631360808	20	6	0.157832651734249	0.510635049728453
X.Eubacterium._siraeum_group	Dorsal_Ventral	V	0.873559258444041	0.651860823585013	20	13	0.196884936895775	0.58113052391051
Anaeroplasma	Dorsal_Ventral	V	0.535781742496887	0.392751526339558	20	4	0.189327934567729	0.58113052391051
Dorea	Dorsal_Ventral	V	-0.82130695857485	0.613367665249992	20	13	0.197232177812052	0.58113052391051
Neisseria	Dorsal_Ventral	V	-0.889263043624876	0.656198266080944	20	15	0.192125691252101	0.58113052391051
Rothia	Dorsal_Ventral	V	-0.845226478973034	0.626819857701157	20	19	0.194241766271829	0.58113052391051
X.Eubacterium._nodatum_group	Dorsal_Ventral	V	-0.946321339780771	0.728324581963372	20	11	0.210233111546032	0.598076955260263
Corynebacterium	Dorsal_Ventral	V	-0.755844826524793	0.577239764604583	20	20	0.206863404259006	0.598076955260263
Akkermansia	Dorsal_Ventral	V	0.642020540278553	0.526444907380707	20	11	0.238379066299642	0.619591466333524
Desemzia	Dorsal_Ventral	V	-0.530324235277441	0.436734212240805	20	3	0.240326386941488	0.619591466333524
Izemoplasmatales	Dorsal_Ventral	V	-1.07382566923963	0.857836631458006	20	10	0.226672025318245	0.619591466333524
Lachnoclostridium	Dorsal_Ventral	V	0.739087690145749	0.597647651325001	20	13	0.232106103257746	0.619591466333524
Oxalobacter	Dorsal_Ventral	V	0.643443803378825	0.521274775890547	20	5	0.232939630336283	0.619591466333524
Solobacterium	Dorsal_Ventral	V	-0.573367632982696	0.460715629876375	20	13	0.229271398477669	0.619591466333524
Facklamia	Dorsal_Ventral	V	-0.759051803044398	0.646980935752316	20	19	0.255998934188789	0.649843448325388
Phascolarctobacterium	Dorsal_Ventral	V	1.4926019664584	1.29867501078105	20	15	0.265464382792593	0.663660956981482
X.Anaerorhabdus._furcosa_group	Dorsal_Ventral	V	-0.486664891314066	0.445232736334844	20	6	0.288782131944363	0.68164852548759
Acidaminococcus	Dorsal_Ventral	V	0.953472095633996	0.896470095618607	20	8	0.301577832488449	0.68164852548759
Arcobacter	Dorsal_Ventral	V	-0.704053598079359	0.640896628943679	20	8	0.286444165636501	0.68164852548759
Gastranaerophilales	Dorsal_Ventral	V	0.434975026862941	0.402599721102032	20	5	0.294221264595918	0.68164852548759
Helcococcus	Dorsal_Ventral	V	-0.445271145240236	0.413798598086783	20	6	0.296113472514386	0.68164852548759
Marvinbryantia	Dorsal_Ventral	V	-0.52705325873746	0.486196369310865	20	7	0.292656999785076	0.68164852548759
Treponema	Dorsal_Ventral	V	0.925508358259474	0.868162330593496	20	6	0.300490159330662	0.68164852548759
Family_XIII_AD3011_group	Dorsal_Ventral	V	-0.399893161025111	0.400818193412113	20	20	0.33165273686106	0.702626201539957
Frisingicoccus	Dorsal_Ventral	V	-0.738299829070302	0.757892690333335	20	14	0.342893512452189	0.702626201539957
Holdemanella	Dorsal_Ventral	V	0.786677194063987	0.83340010706671	20	10	0.357700611693069	0.702626201539957
JG30.KF.CM45	Dorsal_Ventral	V	-0.78055184622376	0.812757323234487	20	10	0.349590583922185	0.702626201539957
Lachnospiraceae_UCG.007	Dorsal_Ventral	V	0.585753732978387	0.61150414723358	20	17	0.350808421744658	0.702626201539957
Muribaculaceae	Dorsal_Ventral	V	-0.637633239925412	0.675494635617775	20	20	0.357694087934882	0.702626201539957
Parabacteroides	Dorsal_Ventral	V	0.910757401974835	0.92955406330109	20	16	0.340181466949288	0.702626201539957
Ruminobacter	Dorsal_Ventral	V	-0.363224398244527	0.376003546638682	20	4	0.346838253888314	0.702626201539957
Sphingobacterium	Dorsal_Ventral	V	0.668377743520179	0.67215975706418	20	9	0.333221443260893	0.702626201539957
Terrisporobacter	Dorsal_Ventral	V	-0.794508903127841	0.805591531937528	20	19	0.337086426866137	0.702626201539957
UCG.004	Dorsal_Ventral	V	-0.760996608510413	0.786471241252241	20	13	0.346062012057478	0.702626201539957
UCG.005	Dorsal_Ventral	V	-0.459917129750956	0.495287122034486	20	20	0.365389054944163	0.70928463606808
Faecalibacterium	Dorsal_Ventral	V	0.344349115513073	0.386989107616776	20	4	0.385303119798655	0.722909727938998
Prevotella	Dorsal_Ventral	V	-0.529202334629882	0.594049001959117	20	20	0.384768320951289	0.722909727938998
Turicibacter	Dorsal_Ventral	V	0.280440825380028	0.315335776559598	20	15	0.385551854900799	0.722909727938998
Hydrogenoanaerobacterium	Dorsal_Ventral	V	-0.453948830871927	0.532146169171882	20	5	0.404838842655935	0.736623264697961
Lactobacillus	Dorsal_Ventral	V	-0.500583333476199	0.578434400185327	20	20	0.398201266230298	0.736623264697961
Oscillospira	Dorsal_Ventral	V	-0.570827126032533	0.671224774769194	20	9	0.406258891439481	0.736623264697961
Parasutterella	Dorsal_Ventral	V	-0.473641024101534	0.568737160340158	20	10	0.415874387632865	0.745861673471986
WCHB1.41	Dorsal_Ventral	V	0.602451488761331	0.736154113651567	20	15	0.423844299445618	0.751981821597064
Bifidobacterium	Dorsal_Ventral	V	0.700880175330917	0.865072277071094	20	18	0.428408166444055	0.751993058119884
Mitsuokella	Dorsal_Ventral	V	0.712539429456297	0.889542233588768	20	12	0.43356790676072	0.75303899595283
