feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Comamonas	Dorsal_Ventral	V	2.10359010755748	0.466123210644138	20	13	0.000269201885565313	0.0444183111182767
Bergeyella	Dorsal_Ventral	V	-2.31083247670983	0.71433015029247	20	11	0.00459508099565391	0.114851460667808
Carnobacterium	Dorsal_Ventral	V	1.4803534446714	0.461410125038435	20	6	0.00487248621014942	0.114851460667808
Clostridia_UCG.014	Dorsal_Ventral	V	-1.38343341470097	0.399608528695256	20	19	0.00278188301753941	0.114851460667808
Flaviflexus	Dorsal_Ventral	V	-1.78937518827513	0.54240816989165	20	8	0.00399058151440374	0.114851460667808
Globicatella	Dorsal_Ventral	V	-1.85505249813302	0.549793326529118	20	12	0.00337992259688332	0.114851460667808
Moraxella	Dorsal_Ventral	V	-1.96764512678572	0.541793452514683	20	18	0.00190767088994373	0.114851460667808
UCG.001	Dorsal_Ventral	V	-1.29898383357638	0.419635615131045	20	8	0.00624037870827663	0.128707810858206
Flavobacterium	Dorsal_Ventral	V	-1.8727195070481	0.648039780543044	20	10	0.0097574685132629	0.178886922743153
Lachnospiraceae_UCG.010	Dorsal_Ventral	V	-0.832805235839743	0.298517047801487	20	5	0.0120979668292656	0.199616452682883
Dermatophilus	Dorsal_Ventral	V	-0.854741563252772	0.316758929559566	20	7	0.0147016031617175	0.220524047425763
Alloiococcus	Dorsal_Ventral	V	-1.65814292131885	0.658422749848845	20	10	0.0214719848593288	0.236191833452616
Gallicola	Dorsal_Ventral	V	-1.23576528963082	0.475207699086484	20	5	0.0180813424985803	0.236191833452616
Monoglobus	Dorsal_Ventral	V	-1.28891838735882	0.509225447575009	20	18	0.0209075090473927	0.236191833452616
uncultured	Dorsal_Ventral	V	-0.917469987171152	0.356630599609102	20	20	0.0191707161895521	0.236191833452616
