feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Dorea	Pig	WM2	1.69369128525251	0.409122386524652	7	4	0.00899864946537979	0.30648630706036
Fusobacterium	Pig	WM2	-4.31398780640999	0.967387912056649	7	4	0.00664404218191371	0.30648630706036
Paludicola	Pig	WM2	2.57582509780314	0.635972168590644	7	4	0.00982327907244744	0.30648630706036
Prevotellaceae_NK3B31_group	Pig	WM2	2.49769319825928	0.575547551657389	7	6	0.00743113249902045	0.30648630706036
Roseburia	Pig	WM2	4.09939568043301	0.932481141606457	7	5	0.00704671276924817	0.30648630706036
Breznakia	Pig	WM2	1.98634087752649	0.699095753873047	7	5	0.0361911786026648	0.440234951495851
Campylobacter	Pig	WM2	3.25046452124673	1.14868248994623	7	5	0.0366862459579876	0.440234951495851
Lactobacillus	Pig	WM2	-2.54984829985718	0.898896066535542	7	7	0.0363895501472672	0.440234951495851
Megasphaera	Pig	WM2	-2.88741347266926	0.874392336905186	7	6	0.0214236652988256	0.440234951495851
Muribaculaceae	Pig	WM2	1.23744857629422	0.416856111359123	7	7	0.0312100963441341	0.440234951495851
Prevotellaceae_UCG.003	Pig	WM2	3.69776514594778	1.09337380672459	7	7	0.019631891560818	0.440234951495851
UCG.005	Pig	WM2	1.08509059995296	0.351566758890494	7	7	0.027269340672497	0.440234951495851
UCG.010	Pig	WM2	2.28049205943974	0.797082344658381	7	7	0.0353629980215282	0.440234951495851
X.Eubacterium._brachy_group	Pig	WM2	-0.784120826393459	0.3388813717611	7	2	0.0685772002235132	0.457763385024112
X.Eubacterium._coprostanoligenes_group	Pig	WM2	1.21380031197675	0.553368120330398	7	7	0.0797464711477923	0.457763385024112
X.Eubacterium._nodatum_group	Pig	WM2	-2.15367447976756	1.04662253496485	7	6	0.09470547387813	0.457763385024112
Actinobacillus	Pig	WM2	3.30077052993167	1.61444689133381	7	4	0.0963125074973508	0.457763385024112
Butyricicoccus	Pig	WM2	-0.993094066932876	0.478050797012632	7	2	0.0923687385857856	0.457763385024112
Clostridia_vadinBB60_group	Pig	WM2	1.95025323491733	0.90177267816672	7	7	0.0829049613507666	0.457763385024112
Comamonas	Pig	WM2	-0.692048626230591	0.290088272288406	7	2	0.0627246535189305	0.457763385024112
Desulfovibrio	Pig	WM2	-1.33319881869171	0.528098898299892	7	5	0.0528818816950528	0.457763385024112
Erysipelatoclostridium	Pig	WM2	-0.738214473661124	0.313138353058971	7	2	0.0649546616957176	0.457763385024112
Fibrobacter	Pig	WM2	1.15040105682422	0.559545166442046	7	3	0.0949202675612819	0.457763385024112
Lachnospiraceae_ND3007_group	Pig	WM2	2.07418867172093	1.01662098989793	7	4	0.096834562216639	0.457763385024112
Odoribacter	Pig	WM2	-0.810333214460539	0.354609681384364	7	2	0.0710796760252824	0.457763385024112
p.1088.a5_gut_group	Pig	WM2	1.46489612216834	0.708644816510446	7	3	0.0935746548230121	0.457763385024112
Streptococcus	Pig	WM2	-3.2444182941509	1.38922820684234	7	6	0.0667602164747384	0.457763385024112
Terrisporobacter	Pig	WM2	2.66213929570453	1.17231530756562	7	6	0.072362776502181	0.457763385024112
UBA1819	Pig	WM2	-0.90027928721599	0.412904091497326	7	2	0.0810762390798785	0.457763385024112
UCG.002	Pig	WM2	0.63687421757298	0.281986686559744	7	7	0.0734873178412383	0.457763385024112
uncultured	Pig	WM2	0.723478598465408	0.296338646891248	7	7	0.0585533354368625	0.457763385024112
Veillonella	Pig	WM2	-0.695292138452953	0.291600148958128	7	2	0.0628214841512627	0.457763385024112
Victivallis	Pig	WM2	1.77406010646104	0.80221610803302	7	5	0.0779622018473671	0.457763385024112
Alistipes	Pig	WM2	1.78391402034563	0.904689523971627	7	5	0.105673369557095	0.470828661836376
Dialister	Pig	WM2	1.70126019635068	0.891674147534293	7	3	0.114689033011425	0.470828661836376
Elusimicrobium	Pig	WM2	1.87935913005438	0.984309875698458	7	7	0.114486593408377	0.470828661836376
Escherichia.Shigella	Pig	WM2	-1.72716137577818	0.887826795840365	7	3	0.109314826795829	0.470828661836376
Holdemanella	Pig	WM2	-1.74309125696134	0.908040641744461	7	5	0.112983982340091	0.470828661836376
Anaerovibrio	Pig	WM2	2.51200452281681	1.3353297076477	7	6	0.118695648622203	0.474782594488812
Rikenellaceae_RC9_gut_group	Pig	WM2	1.79775790599311	0.96724113057887	7	7	0.122183374735102	0.476515161466897
Butyricimonas	Pig	WM2	-1.3454059154852	0.774420258011214	7	5	0.142839824601429	0.534549789011472
Monoglobus	Pig	WM2	2.09773044362941	1.21152676843695	7	5	0.143917250887704	0.534549789011472
Lachnospira	Pig	WM2	1.54351225833404	0.912031364746188	7	4	0.151354521090186	0.549100123024859
Alloprevotella	Pig	WM2	1.34861172208906	1.02381708999585	7	7	0.244891359152674	0.618780371397937
Anaeroplasma	Pig	WM2	0.944743537345608	0.775325215877985	7	2	0.277381008224931	0.618780371397937
Atopostipes	Pig	WM2	-0.333333333333336	0.278886675511358	7	1	0.285590940645197	0.618780371397937
Bacteroidales_RF16_group	Pig	WM2	0.868636286953624	0.605649703725665	7	6	0.210967926139429	0.618780371397937
Bifidobacterium	Pig	WM2	-1.48995867191748	0.983351935717668	7	7	0.190157907962285	0.618780371397937
Candidatus_Soleaferrea	Pig	WM2	0.706576302886128	0.579106249184204	7	7	0.276823811076768	0.618780371397937
Clostridia_UCG.014	Pig	WM2	-2.30444607415743	1.56587794422678	7	7	0.201085618683885	0.618780371397937
Collinsella	Pig	WM2	-1.46047266580143	1.0059353908533	7	7	0.206257347762482	0.618780371397937
Dermatophilus	Pig	WM2	-0.333333333333338	0.278886675511359	7	1	0.285590940645195	0.618780371397937
