feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Micrococcus	Pig	WM2	2.5909544416971	0.574966435337052	20	12	0.000273195028209091	0.0378644223177138
UCG.010	Pig	WM2	1.40659660128971	0.329278255919062	20	20	0.000458962694760167	0.0378644223177138
Lachnospiraceae_ND3007_group	Pig	WM2	1.48951609084426	0.372175492228629	20	7	0.000835747714935914	0.0459661243214753
Olsenella	Pig	WM2	2.17960577565088	0.697591349108966	20	7	0.00585701110496995	0.24160170808001
Lachnospira	Pig	WM2	1.79726732434708	0.625826076258769	20	13	0.0101434831047518	0.33473494245681
Coprococcus	Pig	WM2	1.77129941848709	0.654038237760944	20	19	0.0143970758792748	0.339359645725763
UCG.005	Pig	WM2	1.1618586677821	0.426691158209544	20	20	0.0139539359748911	0.339359645725763
Candidatus_Soleaferrea	Pig	WM2	1.77806022951611	0.732086515402289	20	15	0.0258519834381257	0.415052775555931
Elusimicrobium	Pig	WM2	1.36651604125098	0.557197405349726	20	11	0.0246169478949249	0.415052775555931
Prevotellaceae_UCG.003	Pig	WM2	2.04811300536288	0.827622056702058	20	17	0.0235108849737403	0.415052775555931
Roseburia	Pig	WM2	1.84493432883696	0.770103839867718	20	11	0.0276701850370621	0.415052775555931
Bacteroides	Pig	WM2	1.09461517817777	0.478236321558217	20	19	0.0343944202221706	0.472923278054846
Fibrobacter	Pig	WM2	0.702504874556534	0.315983892495132	20	4	0.0392455603134694	0.498116727055574
Cellulosilyticum	Pig	WM2	-1.03131899370822	0.472945068013524	20	15	0.0427236373316697	0.500168665285274
UCG.009	Pig	WM2	1.49923643755253	0.697582902752375	20	16	0.0454698786622977	0.500168665285274
Anaerovibrio	Pig	WM2	2.02937301673141	0.977520202512092	20	17	0.05249214869704	0.509482619706565
Ruminobacter	Pig	WM2	-0.722316680739151	0.346009520078863	20	4	0.0513244440179226	0.509482619706565
CAG.352	Pig	WM2	0.335932068967354	0.172497984702832	20	3	0.0672521864376056	0.54089058693228
Dorea	Pig	WM2	1.10832968677063	0.587750348341617	20	13	0.0755781333871081	0.54089058693228
Holdemanella	Pig	WM2	1.47072438046219	0.780236221233067	20	10	0.0756834993238706	0.54089058693228
