feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Elusimicrobiota	Pig	WM2	1.36537026315594	0.556976126926955	20	11	0.0246720896032649	0.292134444773867
Fibrobacterota	Pig	WM2	0.700927016134509	0.314741582679208	20	4	0.0389512593031823	0.292134444773867
Bacteroidota	Pig	WM2	0.89936113903319	0.528853294738197	20	20	0.106232797521467	0.297026009100459
Cyanobacteria	Pig	WM2	0.634140460221411	0.387173259064637	20	5	0.118810403640184	0.297026009100459
Desulfobacterota	Pig	WM2	1.23543836029585	0.687348591294534	20	9	0.0890703184763588	0.297026009100459
Proteobacteria	Pig	WM2	-0.734207751414624	0.399495989869625	20	20	0.0826505257675597	0.297026009100459
Patescibacteria	Pig	WM2	-1.24405987815665	0.80718662122383	20	9	0.140657415622796	0.301408747763133
Planctomycetota	Pig	WM2	-0.473288571092855	0.349493920502594	20	5	0.192427027298318	0.360800676184347
Chloroflexi	Pig	WM2	-0.812365736343525	0.810994389488535	20	10	0.329769499344579	0.549615832240965
Actinobacteriota	Pig	WM2	0.289172441645131	0.353168660290312	20	20	0.4236122508733	0.587386293925601
Spirochaetota	Pig	WM2	0.820201962155316	1.1110840673952	20	9	0.469909035140481	0.587386293925601
Verrucomicrobiota	Pig	WM2	0.613447760722708	0.768007473615046	20	16	0.434847346673158	0.587386293925601
Deinococcota	Pig	WM2	-0.267973902748581	0.637499263029927	20	11	0.679203988038509	0.783696909275202
Firmicutes	Pig	WM2	0.0167152752329513	0.0558840018752377	20	20	0.768284666724774	0.823162142919401
Campilobacterota	Pig	WM2	0.0251830397762132	0.585748107663526	20	8	0.966180487661294	0.966180487661294
