LKID	Phyla	Genera	Species	KHID	BodySite
LK2487	Actinobacteriota	Corynebacterium		169	Dorsal (dry)
LK2488	Actinobacteriota	Kocuria		169	Dorsal (dry)
LK2489				169	Dorsal (dry)
LK2490	Actinobacteriota	Rothia		169	Dorsal (dry)
LK2491	Actinobacteriota	Luteococcus		169	Dorsal (dry)
LK2492	Actinobacteriota	Rothia		169	Dorsal (dry)
LK2493	Firmicutes	Paenibacillus	glucanolyticus	169	Dorsal (dry)
LK2494				169	Dorsal (dry)
LK2495	Actinobacteriota	Corynebacterium		169	Dorsal (dry)
LK2496				169	Dorsal (dry)
LK2497	Actinobacteriota	Rothia		169	Dorsal (dry)
LK2498	Actinobacteriota	Rothia		169	Dorsal (dry)
LK2499				169	Dorsal (dry)
LK2500	Actinobacteriota	Kocuria		169	Dorsal (dry)
LK2501	Actinobacteriota	Corynebacterium		169	Dorsal (dry)
LK2502				169	Dorsal (dry)
LK2503				169	Dorsal (dry)
LK2504				169	Dorsal (dry)
LK2505	Actinobacteriota	Rothia		169	Dorsal (dry)
LK2506	Actinobacteriota	Corynebacterium		169	Dorsal (dry)
LK2507	Actinobacteriota	Corynebacterium		169	Dorsal (dry)
LK2508				170	Ventral (dry)
LK2509	Actinobacteriota	Kocuria		170	Ventral (dry)
LK2510	Actinobacteriota	Corynebacterium		170	Ventral (dry)
LK2511				170	Ventral (dry)
LK2512				170	Ventral (dry)
LK2513	Actinobacteriota	Corynebacterium		170	Ventral (dry)
LK2514	Actinobacteriota	Corynebacterium		171	Axilla (moist)
LK2515				171	Axilla (moist)
LK2516	Actinobacteriota	Corynebacterium		171	Axilla (moist)
LK2517				171	Axilla (moist)
LK2518	Actinobacteriota	Kocuria		171	Axilla (moist)
LK2519	Actinobacteriota	Corynebacterium		171	Axilla (moist)
LK2520				171	Axilla (moist)
LK2521	Actinobacteriota	Corynebacterium		171	Axilla (moist)
LK2522	Actinobacteriota	Corynebacterium		171	Axilla (moist)
LK2523	Actinobacteriota	Corynebacterium		171	Axilla (moist)
LK2524				171	Axilla (moist)
LK2525	Actinobacteriota	Rothia		172	Inguinal (moist)
LK2526	Actinobacteriota	Kocuria		172	Inguinal (moist)
LK2527	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2528	Actinobacteriota	Kocuria		172	Inguinal (moist)
LK2529	Actinobacteriota	Kocuria		172	Inguinal (moist)
LK2530	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2531	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2532	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2533	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2534				172	Inguinal (moist)
LK2535	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2536	Actinobacteriota	Corynebacterium		172	Inguinal (moist)
LK2537	Actinobacteriota	Brachybacterium		172	Inguinal (moist)
LK2538	Actinobacteriota	Corynebacterium		173	Oral (moist)
LK2539	Actinobacteriota	Rothia		173	Oral (moist)
LK2540	Actinobacteriota	Rothia		173	Oral (moist)
LK2541	Actinobacteriota	Rothia		173	Oral (moist)
LK2542				173	Oral (moist)
