Row Labels,Alternaria,Antrodia,Apiotrichum,Aspergillus,Athelia,Aureobasidium,Bipolaris,Bulleromyces,Candida,Cephaliophora,Cephalosporium,Cerrena,Cladosporium,Cleistothelebolus,Coniothyrium,Cryptococcus,Cutaneotrichosporon,Cystofilobasidium,Dioszegia,Dipodascus,Filobasidium,Fusarium,Gaertneriomyces,Gibberella,Golubevia,Graphiola,Hannaella,Holtermanniella,Hyphopichia,Hypomyces,Irpex,Kazachstania,Lecanicillium,Lectera,Malassezia,Meyerozyma,Microdochium,Moesziomyces,Mortierella,Mrakia,Mucor,Naganishia,Neodevriesia,Neosetophoma,Nigrospora,Ogataea,Ophiosphaerella,Paraphaeosphaeria,Penicillium,Peniophorella,Phaeoacremonium,Phaeosphaeria,Plectosphaerella,Pseudopithomyces,Pyxidiophora,Radulidium,Rhodotorula,Rigidoporus,Saccharomyces,Saitozyma,Sarocladium,Sclerotinia,Septoria,Sistotrema,Sphaeronaemella,Sporisorium,Stenocarpella,Sterigmatomyces,Talaromyces,Tausonia,Tiarosporella,Torulaspora,Trametes,Trichoderma,Trichosporon,unidentified,Ustilago,Verrucocladosporium,Vishniacozyma,Wallemia,Wickerhamomyces,Xerochrysium,Xeromyces
Kalan16S006-218,0.136128066,0,0.138892088,0.000345503,0,0,0,0,0,0,0,0,0.068524703,0,0,0.015893124,0.004376368,0,0,0.021421168,0.00472187,0.030980076,0,0.001612346,0,0.010019578,0.047103536,0,0.010134746,0,0,0.004837038,0,0,0.081193136,0,0,0,0,0,0,0.014511114,0.009098238,0,0.019002649,0,0,0.014395946,0.006219049,0,0,0,0,0,0,0.005412876,0.005643211,0,0,0,0.118507428,0,0,0,0.000806173,0,0,0.006449384,0,0,0,0,0,0,0.034665438,0.077968444,0.000806173,0.01658413,0.015317287,0.019232984,0,0.003570195,0.055625936
Kalan16S006-219,0.108822711,0,0.154467019,0,0,0,0,0,0.025605344,0,0,0,0.005566379,0.020317284,0,0,0.115502366,0,0,0.06123017,0,0,0,0.001113276,0,0,0.03200668,0,0,0,0,0,0,0,0.102978013,0,0,0,0,0,0,0,0,0,0,0,0,0.018090732,0.014472586,0,0,0,0,0,0,0,0,0,0,0,0.119120512,0.02922349,0,0.030615085,0,0,0.003896465,0,0.007792931,0.007514612,0,0,0,0,0.030615085,0.076816031,0,0,0,0,0,0,0.034233231
Kalan16S006-221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalan16S006-222,0,0,0.054347826,0,0,0,0,0,0.055555556,0,0,0.212560386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006038647,0,0,0,0,0.095410628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049516908,0.472222222,0,0,0,0,0,0,0.054347826,0,0,0,0,0,0,0
Kalan16S006-224,0,0,0.076184763,0,0,0,0,0,0.044391122,0,0,0,0.00179964,0,0,0.056988602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094181164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278944211,0,0,0,0,0.045590882,0.263347331,0,0,0,0,0.079184163,0,0,0.059388122
Kalan16S006-225,0,0,0.325102881,0,0,0,0,0,0,0,0,0,0,0,0,0.016460905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572016461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalan16S006-226,0,0,0.224876442,0,0,0,0,0,0,0.02306425,0,0,0,0,0,0,0.310543657,0,0,0.071663921,0,0.038714992,0.001647446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041186161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050247117,0,0,0,0,0,0,0,0,0,0,0,0,0.009884679,0.188632619,0.039538715,0,0,0,0,0,0,0
Kalan16S006-228,0,0,0.05192178,0,0,0,0,0,0,0,0,0,0.122387053,0,0,0,0.118004046,0,0,0.084625759,0,0,0,0,0,0,0,0,0,0,0,0.008766015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031018206,0,0,0,0,0,0,0,0,0,0,0,0.021577883,0,0,0,0,0,0,0,0,0,0,0,0,0.001011463,0.477747808,0.082939987,0,0,0,0,0,0,0
Kalan16S006-229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalan16S006-230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258971033,0,0,0,0,0,0.11975789,0.621271077,0,0,0,0,0,0,0
