Row Labels,Alternaria,Antrodia,Apiotrichum,Aspergillus,Athelia,Aureobasidium,Bipolaris,Bulleromyces,Candida,Cephaliophora,Cephalosporium,Cerrena,Cladosporium,Cleistothelebolus,Coniothyrium,Cryptococcus,Cutaneotrichosporon,Cystofilobasidium,Debaryomyces,Dioszegia,Dipodascus,Epicoccum,Filobasidium,Fusarium,Gaertneriomyces,Gibberella,Golubevia,Graphiola,Hannaella,Holtermanniella,Hyphodontia,Hyphopichia,Hypomyces,Irpex,Kazachstania,Lecanicillium,Lectera,Lycoperdon,Malassezia,Metschnikowia,Meyerozyma,Microdochium,Moesziomyces,Mortierella,Mrakia,Mucor,Naganishia,Neodevriesia,Neosetophoma,Nigrospora,Ogataea,Ophiosphaerella,Paraphaeosphaeria,Penicillium,Peniophorella,Phaeoacremonium,Phaeosphaeria,Plectosphaerella,Pseudopithomyces,Pyxidiophora,Radulidium,Rhodotorula,Rigidoporus,Saccharomyces,Saitozyma,Sarocladium,Sclerotinia,Septoria,Sistotrema,Sphaeronaemella,Sporisorium,Stenocarpella,Sterigmatomyces,Talaromyces,Tausonia,Tiarosporella,Torulaspora,Trametes,Trichoderma,Trichosporon,unidentified,Ustilago,Verrucocladosporium,Vishniacozyma,Wallemia,Wickerhamiella,Wickerhamomyces,Xerochrysium,Xeromyces
Kalan16S006-218,0.079095727,0,0.067989627,0.004228211,0,0,0,0,0,0,0,0,0.149735032,0,0,0.007779908,0.203010486,0,0,0,0.010485962,0.00146578,0.002311422,0.182320442,0,0.000789266,0,0.004904724,0.023057842,0,0,0.0049611,0,0,0.002367798,0,0,0,0.03974518,0,0,0,0,0,0,0,0.007103394,0.004453715,0,0.009302063,0,0,0.007047018,0.005806743,0,0,0,0,0,0,0.002649679,0.002762431,0,0,0,0.05801105,0,0,0,0.000394633,0,0,0.003157064,0,0,0,0,0,0,0.022494081,0.038166648,0.000394633,0.008118164,0.007498027,0.009414816,0,0,0.00174766,0.027229676
Kalan16S006-219,0.061256462,0,0.08694971,0.012219959,0,0,0,0,0.018016607,0,0,0,0.118439605,0.011436629,0,0,0.153062823,0,0,0,0.034466552,0.00203666,0,0.138649538,0,0.000626665,0,0,0.018016607,0,0,0,0,0,0,0,0,0,0.057966473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010183299,0.00814664,0,0,0,0,0,0,0,0,0,0,0,0.06705311,0.016449945,0,0.017233276,0,0,0.002193326,0,0.004386652,0.004229986,0,0,0,0.005483315,0.073633088,0.058593138,0,0,0,0,0,0,0,0.019269936
Kalan16S006-221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137651822,0,0.862348178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalan16S006-222,0,0,0.048076923,0,0,0,0,0,0.049145299,0,0,0.188034188,0.115384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534188,0,0,0,0,0,0.084401709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043803419,0.417735043,0,0,0,0,0,0,0.048076923,0,0,0,0,0,0,0,0
Kalan16S006-224,0,0,0.049262995,0,0,0,0,0,0.028704422,0,0,0,0.013964313,0,0,0.036850272,0.142358417,0,0,0,0,0.070209465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060899922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183087665,0,0,0,0,0.029480217,0.295577967,0,0,0,0,0.051202483,0,0,0,0.038401862
Kalan16S006-225,0,0,0.325102881,0,0,0,0,0,0,0,0,0,0,0,0,0.016460905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572016461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalan16S006-226,0,0,0.175788796,0,0,0,0,0,0,0.01802962,0,0,0.05022537,0,0,0,0.242755956,0,0,0,0.056020605,0,0,0.119768191,0.00128783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03219575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039278815,0,0,0,0,0,0,0,0,0,0,0,0,0.00772698,0.147456536,0.109465551,0,0,0,0,0,0,0,0
Kalan16S006-228,0,0,0.030446817,0,0,0,0,0,0,0,0,0,0.097271649,0,0,0,0.069197311,0,0.041716093,0,0.049624357,0,0,0.122380388,0,0,0,0,0,0,0,0,0,0,0.005140372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018189008,0,0,0,0,0,0,0,0,0,0,0,0.012653223,0,0,0,0,0,0,0,0,0,0,0,0,0.022736259,0.482008699,0.048635824,0,0,0,0,0,0,0,0
Kalan16S006-229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalan16S006-230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001111935,0,0,0.048554485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227946627,0,0,0,0,0,0.102668643,0.61971831,0,0,0,0,0,0,0,0
